Trap_ID,date_start,date_end,duration,Year,Month,ice_distance,ice_concentration,POC
Fevi18,15/05/2009,31/05/2009,16,2009,5,11.43525182,11.52941176,4.6488725
Fevi18,31/05/2009,15/06/2009,15,2009,6,15.70731291,9.5875,9.324330667
Fevi22,10/05/2011,20/05/2011,10,2011,5,31.51463415,0.727272727,9.905792
Fevi22,20/05/2011,31/05/2011,11,2011,5,57.43525418,0,5.79904
Fevi22,31/05/2011,15/06/2011,15,2011,6,25.59749903,2.4125,4.369322667
Fevi24,10/05/2012,20/05/2012,10,2012,5,67.27095088,0,7.528576
Fevi24,20/05/2012,31/05/2012,11,2012,5,64.67760963,0,4.36790303
Fevi24,31/05/2012,10/06/2012,10,2012,6,35.58867147,0,18.99008
Fevi26,10/05/2013,20/05/2013,10,2013,5,23.31781774,0,2.692181333
Fevi26,20/05/2013,31/05/2013,11,2013,6,39.83808334,1.733333333,2.844334545
Fevi26,31/05/2013,10/06/2013,10,2013,6,19.52296619,9.966666667,3.10624
Fevi1,14/06/2001,29/06/2001,15,2001,6,54.49379651,1.0625,2.1
Fevi1,29/06/2001,14/07/2001,15,2001,7,13.64623453,9.7125,3.34
Fevi10,13/06/2006,28/06/2006,15,2006,6,93.37640795,0,23.945728
Fevi10,28/06/2006,13/07/2006,15,2006,7,62.13778013,0,0.805226667
Fevi13,06/06/2007,20/06/2007,14,2007,6,25.21168562,5.053333333,4.378571429
Fevi16,15/06/2008,30/06/2008,15,2008,6,0.542115174,44.3125,2.409831424
Fevi18,15/06/2009,30/06/2009,15,2009,6,27.478525,2.5875,4.338197333
Fevi18,30/06/2009,15/07/2009,15,2009,7,12.98535626,9.4875,3.613518667
Fevi22,15/06/2011,30/06/2011,15,2011,6,10.29431522,9.7125,5.606656
Fevi24,10/06/2012,20/06/2012,10,2012,6,20.21917195,5.218181818,9.80032
Fevi24,20/06/2012,30/06/2012,10,2012,6,7.883871939,15.38181818,7.36256
Fevi24,30/06/2012,15/07/2012,15,2012,7,56.70747301,0,3.502336
Fevi26,10/06/2013,20/06/2013,10,2013,6,0,31.5,2.035328
Fevi26,20/06/2013,30/06/2013,10,2013,6,0.740100893,27.5,2.955136
Fevi7,15/07/2004,22/07/2004,7,2004,7,52.06863933,0,1.897
Fevi7,22/07/2004,29/07/2004,7,2004,7,51.7966848,0,7.179394286
Fevi7,29/07/2004,05/08/2004,7,2004,8,98.9493603,0,49.371
Fevi10,13/07/2006,20/07/2006,7,2006,7,62.56841816,0,1.906331429
Fevi16,23/07/2007,15/08/2007,23,2007,8,54.94982832,0,6.30272
Fevi18,17/07/2008,31/07/2008,14,2008,7,7.092288458,16.6,5.604982857
Fevi18,31/07/2008,10/08/2008,10,2008,8,1.762014301,19.16363636,16.913664
Fevi18,15/07/2009,22/07/2009,7,2009,7,21.69148593,2.7,4.495085714
Fevi22,10/07/2010,20/07/2010,10,2010,7,58.56040063,0,18.158592
Fevi22,20/07/2010,31/07/2010,11,2010,7,82.33092124,0,11.04139636
Fevi22,31/07/2010,15/08/2010,15,2010,8,90.09814656,0,7.651584
Fevi26,29/07/2012,15/08/2012,17,2012,8,29.91148674,0.788888889,5.853364706
Fevi1,31/08/2000,15/09/2000,15,2000,9,76.04837766,0,26.07
Fevi2,14/08/2001,31/08/2001,17,2001,8,37.91194823,0.433333333,17.73
Fevi2,31/08/2001,15/09/2001,15,2001,9,81.53669027,0,6.13
Fevi3,14/08/2002,29/08/2002,15,2002,8,144.4353005,0,7.29
Fevi3,29/08/2002,13/09/2002,15,2002,9,140.0300259,0,6.97
Fevi7,05/08/2004,15/08/2004,10,2004,8,215.8640017,0,41.97
Fevi7,15/08/2004,31/08/2004,16,2004,8,268.6108823,0,13.867
Fevi7,31/08/2004,15/09/2004,15,2004,9,247.8720108,0,12.254
Fevi10,25/08/2005,05/09/2005,11.5,2005,8,83.9306838,0,9.571802899
Fevi13,26/08/2006,01/09/2006,6,2006,8,94.43058989,0,1.002362667
Fevi16,15/08/2007,31/08/2007,16.5,2007,8,20.25991455,5.352941176,15.5904
Fevi16,31/08/2007,10/09/2007,10,2007,9,30.19304292,2.072727273,4.602496
Fevi18,10/08/2008,20/08/2008,10,2008,8,13.75477257,6.854545455,12.85056
Fevi18,20/08/2008,31/08/2008,11,2008,8,18.076594,3.666666667,29.97271273
Fevi18,31/08/2008,15/09/2008,15,2008,9,27.195377,0.4625,8.4864
Fevi22,15/08/2010,31/08/2010,16,2010,8,77.38838021,0,8.17168
Fevi22,31/08/2010,15/09/2010,15,2010,9,41.99047999,0,8.718058667
Fevi24,01/08/2011,15/08/2011,14,2011,8,39.39145667,0.8,13.94925714
Fevi24,15/08/2011,31/08/2011,16,2011,8,95.10816416,0,11.53424
Fevi24,31/08/2011,10/09/2011,10,2011,9,111.6099999,0,17.380608
Fevi26,15/08/2012,31/08/2012,16,2012,8,41.72519506,4.141176471,13.09845333
Fevi26,31/08/2012,10/09/2012,10,2012,9,85.83472848,0,15.774208
Fevi1,15/09/2000,30/09/2000,15,2000,9,60.73443042,0,12.05
Fevi1,30/09/2000,15/10/2000,15,2000,10,66.31047843,0.106666667,8.31
Fevi2,15/09/2001,30/09/2001,15,2001,9,99.16094678,0,7.83
Fevi2,30/09/2001,15/10/2001,15,2001,10,109.7971251,0,4.23
Fevi3,13/09/2002,28/09/2002,15,2002,9,102.9757511,0,8.63
Fevi3,28/09/2002,13/10/2002,15,2002,10,72.39607697,0,2.53
Fevi7,15/09/2004,30/09/2004,15,2004,9,176.6782447,0,6.461
Fevi7,30/09/2004,15/10/2004,15,2004,10,100.6217646,0,2.287
Fevi10,05/09/2005,25/09/2005,20,2005,9,62.04828138,0,15.896704
Fevi10,25/09/2005,15/10/2005,20,2005,10,26.00659872,4.27,8.140202667
Fevi13,01/09/2006,07/09/2006,6,2006,9,74.23771818,0,1.227093333
Fevi13,07/09/2006,15/09/2006,8,2006,9,77.15920959,0,3.01344
Fevi13,15/09/2006,22/09/2006,7,2006,9,76.50051321,0,4.74624
Fevi13,22/09/2006,30/09/2006,8,2006,9,52.01868582,0,3.256
Fevi13,30/09/2006,15/10/2006,15,2006,10,43.13893243,0.36,4.298368
Fevi16,10/09/2007,20/09/2007,10,2007,9,37.14436387,0.618181818,1.549201067
Fevi16,20/09/2007,30/09/2007,10,2007,9,21.53894355,4.890909091,3.421696
Fevi16,30/09/2007,15/10/2007,15,2007,10,16.04957793,10.85333333,5.274709333
Fevi18,15/09/2008,30/09/2008,15,2008,9,30.66939824,0.546666667,5.340273778
Fevi18,30/09/2008,15/10/2008,15,2008,10,17.56028787,5.986666667,4.458325333
Fevi22,15/09/2010,30/09/2010,15,2010,9,74.23926566,0,5.985109333
Fevi22,30/09/2010,15/10/2010,15,2010,10,46.36224129,0.48,7.649678222
Fevi24,10/09/2011,30/09/2011,20,2011,9,109.1546595,0,7.562304
Fevi24,30/09/2011,31/10/2011,31,2011,10,98.31783898,0,2.362136774
Fevi26,10/09/2012,20/09/2012,10,2012,9,70.74616371,0,12.545024
Fevi26,20/09/2012,30/09/2012,10,2012,9,63.81266117,0,9.875968
Fevi26,30/09/2012,15/10/2012,15,2012,10,2.230366781,23.54666667,8.684373333
Fevi1,15/10/2000,30/10/2000,15,2000,10,88.27156554,0,1.37
Fevi1,30/10/2000,14/11/2000,15,2000,11,78.93240226,0,1.59
Fevi2,15/10/2001,30/10/2001,15,2001,10,100.8966639,0,1.58
Fevi2,30/10/2001,14/11/2001,15,2001,11,36.56891462,1.9875,1.27
Fevi3,13/10/2002,28/10/2002,15,2002,10,75.2735798,0,1.32
Fevi3,28/10/2002,12/11/2002,15,2002,11,67.62655475,0,0.44
Fevi7,15/10/2004,31/10/2004,16,2004,10,104.4091102,0,1.141
Fevi7,31/10/2004,30/11/2004,30,2004,11,70.23213461,0,1.14
Fevi10,15/10/2005,31/10/2005,16,2005,10,18.46107879,6.235294118,1.58546
Fevi10,31/10/2005,30/11/2005,30,2005,11,53.59897976,0.051612903,0.889329778
Fevi13,15/10/2006,31/10/2006,16,2006,10,42.75225003,0,2.033426667
Fevi13,31/10/2006,15/11/2006,15,2006,11,49.53927503,0,1.091148506
Fevi16,15/10/2007,31/10/2007,16,2007,10,39.60889409,1.517647059,3.55952
Fevi16,31/10/2007,30/11/2007,30,2007,11,70.73025945,0,0.668643556
Fevi18,15/10/2008,31/10/2008,16,2008,10,9.464733921,15.38823529,7.4904
Fevi18,31/10/2008,30/11/2008,30,2008,11,50.9182038,0.664516129,1.695808
Fevi22,15/10/2010,31/10/2010,16,2010,10,82.27680429,0,1.74356
Fevi22,31/10/2010,30/11/2010,30,2010,11,39.60846005,3.35483871,0.907050667
Fevi24,31/10/2011,15/11/2011,15,2011,11,68.79653652,0,4.062151111
Fevi26,15/10/2012,31/10/2012,16,2012,10,13.18959378,20.18823529,7.52976
Fevi26,31/10/2012,30/11/2012,30,2012,11,52.87630574,0.277419355,1.478144
Fevi1,14/11/2000,29/11/2000,15,2000,11,53.32264345,0.2125,0.38
Fevi1,29/11/2000,14/12/2000,15,2000,12,38.49689515,1.1,0.81
Fevi2,14/11/2001,29/11/2001,15,2001,11,25.33127651,5.35,0.53
Fevi2,29/11/2001,14/12/2001,15,2001,12,55.59448638,0,0.52
Fevi3,12/11/2002,27/11/2002,15,2002,11,45.23661682,1.225,0.39
Fevi3,27/11/2002,12/12/2002,15,2002,12,55.00822139,0,0.44
Fevi7,30/11/2004,15/01/2005,46,2004,12,49.37824729,0.795744681,4.027173913
Fevi10,30/11/2005,31/12/2005,31,2005,12,83.45179212,0.20625,0.952144516
Fevi13,15/11/2006,30/11/2006,15,2006,11,54.33942597,0,2.671525161
Fevi13,30/11/2006,31/12/2006,31,2006,12,66.96826215,0,1.926709333
Fevi16,30/11/2007,31/12/2007,31,2007,12,47.55774278,1.46875,2.451034839
Fevi18,30/11/2008,15/01/2009,46,2008,12,61.69148923,1.063829787,1.122077681
Fevi22,30/11/2010,31/12/2010,31,2010,12,39.72982059,1.775,1.261061505
Fevi24,15/11/2011,30/11/2011,15,2011,11,52.98925576,0.1125,2.710528
Fevi24,30/11/2011,31/12/2011,31,2011,12,77.9678412,0,1.991060645
Fevi26,30/11/2012,31/12/2012,31,2012,12,21.58441978,6.31875,1.430984946
Fevi1,14/12/2000,14/01/2001,31,2000,12,53.77714065,0,0.76
Fevi2,14/12/2001,14/01/2002,31,2001,12,44.28626231,0.4375,0.6
Fevi3,12/12/2002,27/12/2002,15,2002,12,41.49338947,2.8375,0.42
Fevi3,27/12/2002,11/01/2003,15,2002,1,88.53174057,0,0.7
Fevi10,31/12/2005,28/02/2006,59,2005,1,79.87766183,0.046666667,1.163013785
Fevi13,31/12/2006,31/01/2007,31,2006,1,73.57618246,0,0.838967742
Fevi16,31/12/2007,31/01/2008,31,2007,1,46.9115744,4.8,0.904072258
Fevi22,31/12/2010,28/02/2011,59,2010,1,41.4376907,2.513333333,2.444669831
Fevi24,31/12/2011,31/01/2012,31,2011,1,87.66340989,0,0.697694968
Fevi26,31/12/2012,31/01/2013,31,2012,1,33.39678906,1.2375,1.694265806
